Dataset,Model,Batch Size,Learning Rate,Hidden Size,Epochs,Test Accuracy
mnist,MLP,8,0.001,32,10,0.9607
mnist,MLP,8,0.001,64,10,0.9708
mnist,CNN,8,0.001,-,20,0.9905
mnist,ViT,8,0.001,-,20,0.9039
cifar10,MLP,8,0.001,32,10,0.4831
cifar10,MLP,8,0.001,64,10,0.4889
cifar10,CNN,8,0.001,-,20,0.6721
cifar10,ViT,8,0.001,-,20,0.421
