Dataset,Model,Batch Size,Learning Rate,Hidden Size,Epochs,Test Accuracy
mnist,MLP,16,0.001,64,10,0.9727
mnist,CNN,16,0.001,-,30,0.988
mnist,ViT,16,0.001,-,30,0.9124
cifar10,MLP,16,0.001,64,10,0.5055
cifar10,CNN,16,0.001,-,30,0.6878
cifar10,ViT,16,0.001,-,30,0.4263
